,Customer,State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,response Rate
47,PR23514,California,7664.219255,Basic,College,Employed,M,60184,Rural,Divorced,199,7.0,44,1.0,1,Personal Auto,Personal L3,Offer2,Web,161.61574,Luxury SUV,Medsize,0
48,UY32623,California,3593.12645,Extended,College,Disabled,F,18213,Suburban,Divorced,96,12.0,43,1.0,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,0
49,QV30663,Nevada,9863.502214,Extended,Master,Employed,F,99654,Rural,Married,121,13.0,95,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,0
50,MS94619,California,5111.304579,Basic,High School or Below,Employed,F,76448,Suburban,Married,63,9.0,13,0.0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,0
51,FT56968,Arizona,2590.096027,Basic,High School or Below,Employed,M,22398,Suburban,Married,67,15.149070740488469,76,0.384256105867471,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,0
52,TX39594,Arizona,2452.491364,Basic,High School or Below,Employed,F,51085,Suburban,Married,62,4.0,58,1.0,1,Personal Auto,Personal L3,Offer3,Call Center,406.902001,Two-Door Car,Small,0
53,GR42174,Oregon,2194.668123,Basic,College,Unemployed,M,0,Suburban,Single,62,11.0,48,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,623.525433,Four-Door Car,Medsize,0
54,XI79589,California,4473.883999,Extended,High School or Below,Unemployed,F,0,Suburban,Divorced,125,2.0,84,0.0,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,0
55,XQ74827,Arizona,19435.62924,Extended,High School or Below,Employed,F,38688,Suburban,Single,249,22.0,6,0.0,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,0
56,TW17878,Oregon,2457.576007,Basic,High School or Below,Employed,F,52926,Suburban,Married,61,2.0,92,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,0
57,GB43363,Oregon,6870.607058,Premium,College,Unemployed,M,0,Suburban,Single,105,5.0,87,0.0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,0
58,BR69566,California,14019.83314,Basic,College,Employed,M,31739,Suburban,Divorced,71,10.0,29,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,469.882367,Two-Door Car,Small,1
59,EP83939,Arizona,5575.751228,Basic,High School or Below,Employed,M,91416,Rural,Married,69,15.149070740488469,39,0.384256105867471,5,Personal Auto,Personal L3,Offer2,Call Center,109.904496,Four-Door Car,Medsize,0
60,IQ95180,Oregon,5651.396772,Basic,Bachelor,Employed,M,44634,Suburban,Married,71,16.0,99,1.0,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,0
61,JX52708,California,4556.068318,Basic,Bachelor,Medical Leave,M,25617,Suburban,Divorced,63,22.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,0
62,UF44021,California,2108.493744,Basic,Bachelor,Unemployed,M,0,Suburban,Single,61,8.0,91,0.0,1,Personal Auto,Personal L2,Offer1,Agent,351.85681,Two-Door Car,Medsize,1
63,AV25133,Oregon,3095.705571,Extended,College,Unemployed,F,0,Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small,0
64,WL24392,Arizona,5860.16743,Basic,Bachelor,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,0
65,LO57874,Oregon,2300.691547,Basic,Bachelor,Retired,M,25905,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,1
66,UO54511,California,4950.250892,Basic,High School or Below,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,0
67,KR35099,Washington,7507.455372,Basic,College,Employed,M,60920,Urban,Single,64,15.149070740488469,61,0.384256105867471,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,1
68,NY12562,Nevada,2224.089639,Basic,College,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,0
69,QG27547,Oregon,2867.312197,Extended,Bachelor,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,1
70,PH78214,Oregon,5427.174517,Basic,College,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,0
71,LO37570,Arizona,12157.5413,Extended,High School or Below,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,0
72,FH81409,California,8152.244431,Extended,High School or Below,Unemployed,M,0,Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,0
73,RW65977,Arizona,2191.133237,Basic,College,Unemployed,M,0,Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,0
74,LD75023,Oregon,26346.08582,Extended,High School or Below,Employed,M,48268,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,0
75,OZ92426,Oregon,2364.43161,Basic,College,Employed,M,46264,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,0
76,FI17798,California,2710.12066,Basic,Doctor,Unemployed,M,0,Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,0
77,YC54142,Washington,74228.51604,Extended,High School or Below,Unemployed,M,0,Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,0
78,LN28900,California,14687.07959,Extended,Bachelor,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,0
79,SX63814,Arizona,9312.585034,Premium,High School or Below,Employed,M,75986,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89.119797,Four-Door Car,Medsize,0
80,VM85555,California,7750.120323,Basic,College,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,0
81,RO18530,Washington,2540.689797,Basic,Master,Employed,M,42557,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large,0
82,FR48094,Arizona,2456.816127,Basic,High School or Below,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,0
83,DY27653,Oregon,3755.806897,Extended,High School or Below,Employed,F,56178,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,0
84,OH69760,Arizona,5181.054467,Basic,College,Unemployed,F,0,Suburban,Married,70,15.149070740488469,64,0.384256105867471,7,Personal Auto,Personal L1,Offer1,Branch,336.0,Four-Door Car,Large,0
85,CH50584,Oregon,32474.76977,Basic,High School or Below,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,0
86,WM19996,California,8349.523082,Basic,Bachelor,Employed,M,45428,Urban,Divorced,109,15.149070740488469,46,0.384256105867471,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.273964,SUV,Medsize,0
87,ZH92587,Oregon,8126.766397,Basic,College,Disabled,F,14616,Suburban,Married,107,15.149070740488469,73,0.384256105867471,3,Personal Auto,Personal L3,Offer1,Agent,513.6,Four-Door Car,Medsize,0
88,CJ51511,Arizona,13466.92071,Basic,High School or Below,Disabled,F,11432,Suburban,Married,119,15.149070740488469,9,0.384256105867471,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,Four-Door Car,Medsize,1
89,ME37450,Arizona,5210.348372,Basic,Bachelor,Employed,M,89781,Rural,Single,66,7.0,89,0.0,5,Special Auto,Special L2,Offer1,Agent,37.960537,Four-Door Car,Medsize,0
90,KO86181,Oregon,6941.872931,Basic,College,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,0
91,KD63933,California,7048.384055,Basic,College,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,Medsize,0
92,CM66204,Arizona,26770.44534,Basic,College,Employed,F,26335,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large,0
93,NV13794,Nevada,9549.113813,Basic,High School or Below,Employed,F,55986,Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small,0
94,HF75891,Washington,4331.460674,Basic,High School or Below,Employed,F,82302,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,0
95,NB81923,Washington,7294.492993,Basic,College,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,0
96,AV96010,Oregon,3289.120863,Extended,College,Employed,M,40097,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227.221652,Two-Door Car,Medsize,0
97,CA22248,Oregon,2505.42043,Basic,Master,Employed,F,60546,Rural,Single,63,21.0,71,0.0,1,Personal Auto,Personal L3,Offer2,Branch,46.278027,Four-Door Car,Medsize,0
98,PK23339,Arizona,3417.953745,Extended,High School or Below,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,0
99,JY66887,California,16320.76716,Extended,High School or Below,Unemployed,F,0,Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,0
100,NH16984,California,2838.067784,Extended,Bachelor,Unemployed,F,0,Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,336.50961,Four-Door Car,Medsize,0
101,UV12583,California,4700.583771,Basic,College,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,0
102,VG56765,Arizona,2471.528431,Basic,High School or Below,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,1
103,AK11669,Arizona,10130.93442,Extended,Doctor,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,0
104,SZ60450,California,3419.108695,Extended,High School or Below,Employed,M,40272,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23.387192,Two-Door Car,Medsize,0
105,MS87381,California,23866.15656,Extended,High School or Below,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,0
106,LP47259,Arizona,8324.23271,Extended,High School or Below,Unemployed,M,0,Suburban,Single,121,15.149070740488469,92,0.384256105867471,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,0
107,No31089,Arizona,3179.474225,Extended,Bachelor,Employed,F,65742,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277.360797,Four-Door Car,Medsize,0
108,SD83603,Oregon,6672.127831,Extended,College,Employed,F,56830,Urban,Married,83,15.149070740488469,27,0.384256105867471,9,Personal Auto,Personal L1,Offer2,Agent,319.799712,Two-Door Car,Medsize,0
109,TK65222,California,16407.66461,Premium,Bachelor,Employed,M,22103,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,0
110,HB48073,Arizona,9371.773682,Basic,Bachelor,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,0
111,DO60145,Arizona,4270.034394,Extended,College,Unemployed,M,0,Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,1
112,BA40043,California,5799.826802,Basic,College,Employed,M,60689,Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.746657,Four-Door Car,Medsize,0
113,EC28398,Oregon,5096.673223,Basic,Master,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,1
114,FE99816,Nevada,15563.36944,Premium,Bachelor,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,0
115,HS39343,Washington,7475.784971,Basic,Bachelor,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,0
116,GL44478,Oregon,9986.661111,Extended,High School or Below,Disabled,M,24067,Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,0
117,EF84269,California,5568.656492,Extended,College,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,0
118,RD22761,Washington,20579.69157,Basic,Bachelor,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,0
119,DO41287,Oregon,8276.44416,Extended,High School or Below,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,0
120,OO89057,California,4014.332715,Extended,Master,Employed,F,54054,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,5.661684,Four-Door Car,Medsize,0
121,DQ92905,Arizona,12989.81806,Basic,Bachelor,Unemployed,M,0,Suburban,Single,65,16.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,0
122,EW33419,California,15114.40241,Basic,High School or Below,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,1
123,KH16079,Washington,4709.52218,Basic,High School or Below,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,Small,0
124,GU99037,Oregon,2452.977288,Basic,College,Employed,M,79898,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,0
125,BM92346,California,3919.366722,Extended,High School or Below,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,1
126,TE60343,California,4716.264294,Basic,High School or Below,Employed,M,25746,Suburban,Married,61,0.0,84,1.0,3,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Medsize,1
127,RU75949,Oregon,12332.51669,Basic,College,Employed,M,85789,Rural,Married,105,18.0,54,2.0,2,Personal Auto,Personal L1,Offer1,Agent,122.302824,Sports Car,Medsize,0
128,PP35705,California,35862.99324,Extended,High School or Below,Medical Leave,M,26376,Suburban,Divorced,121,7.0,19,0.0,2,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Small,0
129,ZM45168,Oregon,2398.354197,Basic,College,Disabled,M,14321,Suburban,Single,65,20.0,72,0.0,1,Personal Auto,Personal L2,Offer1,Branch,423.823547,Four-Door Car,Medsize,0
130,SH93005,California,6005.847375,Extended,College,Retired,M,13528,Suburban,Single,86,21.0,35,0.0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize,1
131,QK24293,California,6265.343299,Extended,Doctor,Unemployed,F,0,Suburban,Married,84,18.0,25,1.0,4,Corporate Auto,Corporate L1,Offer1,Agent,481.025786,Four-Door Car,Medsize,1
132,CJ72056,California,8013.895125,Basic,Bachelor,Employed,M,65636,Suburban,Married,67,15.0,72,0.0,2,Personal Auto,Personal L2,Offer2,Call Center,321.6,Four-Door Car,Medsize,0
133,ZY20779,Washington,4979.079933,Basic,High School or Below,Unemployed,M,0,Suburban,Single,71,17.0,57,0.0,5,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize,0
134,BP28492,Arizona,4834.710493,Basic,College,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Corporate Auto,Corporate L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,1
135,AN67558,Nevada,3288.209809,Basic,College,Unemployed,M,0,Suburban,Single,102,16.0,1,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,734.4,SUV,Large,0
136,ZJ90079,Arizona,5525.470004,Basic,College,Employed,F,64816,Suburban,Married,69,30.0,33,0.0,7,Corporate Auto,Corporate L2,Offer3,Agent,331.2,Four-Door Car,Small,0
137,GS85403,Washington,9031.214859,Extended,Master,Unemployed,F,0,Suburban,Single,122,15.0,47,0.0,9,Corporate Auto,Corporate L2,Offer1,Branch,650.52179,Sports Car,Medsize,1
138,SK95364,California,4620.390087,Extended,College,Unemployed,F,0,Suburban,Single,130,11.0,0,0.0,1,Personal Auto,Personal L2,Offer3,Agent,936.0,SUV,Medsize,0
